gt_mode,walking,bicycling,car,bus,subway,train,no_sensed
Walk,26606.726366996765,992.9934272766113,768.6911914348602,593.9067625999451,243.62741804122925,551.8021185398102,7507.376960992813
Regular Bike,406.32996344566345,5098.072386980057,0.0,0.0,0.0,0.0,1635.9443788528442
Pilot ebike,18.672271251678467,6840.792111873627,0.0,0.0,0.0,0.0,351.21918177604675
Scooter share,1314.624922990799,4529.258848667145,516.2511370182037,0.0,0.0,0.0,1122.6968734264374
"Car, sensed",246.55987906455994,0.0,10922.785474300385,0.0,0.0,0.0,2801.6153242588043
Bus,1041.1761105060577,190.9089159965515,11177.23918390274,16877.217380046844,0.0,0.0,98.00301313400269
Train,0.0,0.0,0.0,0.0,19573.21021914482,0.0,7.698483943939209
Train,1829.0278489589691,0.0,0.0,3111.246557712555,0.0,0.0,12.260647296905518
Train,5.529945135116577,5.999784469604492,5836.7676022052765,0.0,0.0,31087.717893600464,93.74619674682617
no_gt,13528.736420869827,1038.1978023052216,1296.818130493164,1274.6327559947968,1682.8216795921326,1475.9611835479736,226499.4139304161
